"ISBN","Title","Author","Pages","Release"
"1590596145","CSS Mastery: Advanced Web Standards Solutions","Andy Budd, Simon Collison, Cameron Moll","280","feb 2006"
"1591396921","X-teams: How to Build Teams That Lead, Innovate and Succeed","Deborah Ancona, Henrik Bresman","260","jun 2007"
"1594481717","A Whole New Mind: Why Right-Brainers Will Rule the Future","Daniel H. Pink","288","mar 2006"
"8775539977","Det nye lederskab","Ole Fogh Kirkeby","279 sider","mar 2004"
"9780007256525","Predictably Irrational: The Hidden Forces That Shape Our Decisions","Dan Ariely","304","mar 2008"
"9780131465756","Enterprise SOA: Service-Oriented Architecture Best Practices","Dirk Krafzig, Karl Banke, Dirk Slama","408","nov 2004"
"9780131467408","Organizational Patterns of Agile Software Development","James O. Coplien, Neil B. Harrison","432","jul 2004"
"9780131473799","IT Architecture Toolkit","Jane Carbone","256","maj 2004"
"9780131479418","Agile Estimating and Planning","Mike Cohn","368","nov 2005"
"9780131870024","Service-Oriented Architecture","Norbert Bieberstein, Sanjay Bose, Marc Fiammante, Keith Jones, Rawn Shah","272","nov 2005"
"9780201485677","Refactoring: Improving the Design of Existing Code","Martin Fowler, Kent Beck, John Brant, William Opdyke, Don Roberts","464","jul 1999"
"9780201498349","Surviving Object-Oriented Projects","Alistair Cockburn","272","dec 1997"
"9780201633610","Design Patterns: Elements of Reusable Object-Oriented Software","Erich Gamma, Richard Helm, Ralph Johnson, John M. Vlissides","416","nov 1994"
"9780201760408","Essential ASP.NET With Examples in C#","Fritz Onion","432","feb 2003"
"9780201895421","Analysis Patterns: Reusable Object Models","Martin Fowler","384","okt 1996"
"9780321116208","Windows Forms Programming in C#","Chris Sells","736","sep 2003"
"9780321146182","J2EE Web Services: XML SOAP WSDL UDDI WS-I JAX-RPC JAXR SAAJ JAXP","Richard Monson-Haefel","928","okt 2003"
"9780321150783","Lean Software Development: An Agile Toolkit","Mary Poppendieck, Tom Poppendieck","240","maj 2003"
"9780321180865","Understanding SOA with Web Services","Eric Newcomer, Greg Lomow","480","dec 2004"
"9780321200686","Enterprise Integration Patterns: Designing, Building, and Deploying Messaging Solutions","Gregor Hohpe, Bobby Woolf","736","okt 2003"
"9780321336385","Continuous Integration: Improving Software Quality and Reducing Risk","Paul Duvall, Steve Matyas, Andrew Glover","336","jul 2007"
"9780321349606","Java Concurrency in Practice","Brian Goetz, Tim Peierls, Joshua Bloch, Joseph Bowbeer, David Holmes, Doug Lea","384","maj 2006"
"9780321480798","RailsSpace: Building a Social Networking Website with Ruby on Rails","Michael Hartl, Aurelius Prochazka","537","jul 2007"
"9780349113463","The Tipping Point: How Little Things Can Make a Big Difference","Malcolm Gladwell","288","feb 2002"
"9780385512077","The Ten Faces of Innovation: IDEO's Strategies for Defeating the Devil's Advocate and Driving Creativity Throughout Your Organization","Thomas Kelley, Jonathan Littman","288","okt 2005"
"9780465024117","Finding Flow: The Psychology of Engagement with Everyday Life","Mihaly Csikszentmihalyi","144","feb 1998"
"9780465024773","The Rise of the Creative Class: And How It's Transforming Work, Leisure, Community and Everyday Life","Richard Florida","434","feb 2004"
"9780470094785","Broadband Optical Access Networks and Fiber-to-the-Home: Systems Technologies and Deployment Strategies","Chinlon Lin","334","sep 2006"
"9780471704201","FTTX Concepts and Applications","Gerd Keiser","293","jan 2006"
"9780471785415","Mastering Enterprise JavaBeans 3.0","Rima Patel Sriganesh, Gerald Brose, Micah Silverman","685","jul 2006"
"9780596102357","Building Scalable Web Sites: Building, scaling, and optimizing the next generation of web applications","Cal Henderson","348","maj 2006"
"9780596510046","Beautiful Code: Leading Programmers Explain How They Think","Andy Oram, Greg Wilson","618","jun 2007"
"9780596516178","The Ruby Programming Language","David Flanagan, Yukihiro Matsumoto","444","jan 2008"
"9780596523695","Ruby Cookbook","Lucas Carlson, Leonard Richardson","906","jul 2006"
"9780596527310","Rails Cookbook","Rob Orsini","534","jan 2007"
"9780596527440","Ajax on Rails","Scott Raymond","350","jan 2007"
"9780596529260","RESTful Web Services","Leonard Richardson, Sam Ruby","446","maj 2007"
"9780672326516","Securing Web Services with WS-Security: Demystifying WS-Security, WS-Policy, SAML, XML Signature, and XML Encryption","Jothy Rosenberg, David Remy","408","maj 2004"
"9780713997279","Blink","Malcolm Gladwell","288","jan 2005"
"9780735614222","Applied Microsoft .NET Framework Programming","Jeffrey Richter","640","jan 2002"
"9780735619937","Agile Project Management with Scrum","Ken Schwaber","192","mar 2004"
"9780740704536","Random Acts Of Management:A Dilbert Book","Scott Adams","128","mar 2000"
"9780749922641","Getting Things Done","David Allen","282","jan 2002"
"9780764558313","Expert One-on-One J2EE Development without EJB","Rod Johnson, Juergen Hoeller","576","jun 2004"
"9780932633408","Adaptive Software Development: A Collaborative Approach to Managing Complex Systems","James A. Highsmith Iii","392","feb 1999"
"9780932633446","Project Retrospectives: A Handbook for Team Reviews","Norman L. Kerth","268","feb 2001"
"9780974514086","Practices of an Agile Developer: Working in the Real World","Venkat Subramaniam, Andy Hunt","176","apr 2006"
"9780974514093","GIS for Web Developers: Adding 'Where' to Your Web Applications","Scott Davis","176","okt 2007"
"9780976694069","Enterprise Integration with Ruby","Maik Schmidt","330","apr 2006"
"9780976694076","Best of Ruby Quiz","James Gray","312","mar 2006"
"9780977616602","Rails Recipes","Chad Fowler","344","jun 2006"
